A,B,C,D,E,F,G,insee
1,1,2,3,1,3,7,22001
4,4,3,2,6,0,6,22002
11,6,6,6,6,1,2,22003
6,5,24,55,27,16,13,22004
0,1,3,15,7,9,5,22005
1,0,0,2,2,1,0,22006
9,1,2,8,6,4,3,22008
0,1,0,0,0,2,0,22009
1,2,1,10,1,2,0,22011
4,1,0,7,9,5,2,22012
2,2,13,10,24,18,24,22013
6,0,5,5,12,6,3,22014
9,1,5,11,5,6,4,22015
2,2,0,2,6,1,8,22016
0,1,0,0,3,5,0,22018
2,2,1,4,0,4,3,22019
3,1,15,19,21,8,9,22020
7,2,2,8,7,7,7,22021
192,4,330,16,17,12,6,22023
0,0,0,1,4,1,0,22024
4,0,4,24,30,19,24,22025
3,0,4,6,3,2,5,22026
0,0,0,5,2,5,0,22027
4,1,0,7,3,5,6,22028
0,0,0,1,2,3,2,22029
1,1,5,3,11,3,2,22030
0,0,1,8,4,11,17,22031
3,2,5,44,16,18,9,22032
0,0,1,3,5,4,7,22033
9,10,9,12,8,7,3,22034
0,0,8,10,12,3,10,22035
0,0,1,2,1,1,0,22036
0,3,0,5,2,5,2,22037
0,0,2,4,3,4,4,22039
1,0,1,3,1,0,1,22040
0,0,0,0,0,2,1,22041
0,0,3,3,3,1,1,22042
0,0,0,3,5,1,1,22043
12,5,4,11,6,1,1,22044
2,3,0,1,0,1,1,22045
9,3,20,65,45,71,35,22046
2,1,8,13,12,2,12,22047
8,1,7,13,19,12,8,22048
8,3,3,11,19,5,6,22049
19,18,120,278,253,92,57,22050
0,1,0,5,3,6,7,22052
1,2,2,2,4,7,2,22053
25,15,17,54,58,34,21,22054
15,19,31,72,54,39,48,22055
0,1,9,16,16,17,15,22056
1,0,0,2,0,1,2,22057
0,0,6,2,2,1,1,22059
0,0,4,4,0,3,4,22060
2,1,5,24,12,16,16,22061
0,0,2,3,3,4,3,22062
0,1,4,4,9,1,7,22063
0,0,1,5,11,5,4,22064
5,0,2,12,14,8,8,22065
7,1,12,23,17,10,13,22067
0,0,0,0,1,0,1,22068
0,0,0,3,2,1,1,22069
2,1,75,122,100,63,68,22070
1,0,1,1,6,2,5,22071
0,0,0,7,3,2,9,22072
0,1,0,3,1,2,0,22073
0,0,2,4,5,5,5,22074
0,0,1,4,1,0,2,22075
8,6,7,11,8,7,3,22076
3,0,16,5,8,3,0,22077
4,0,12,16,11,8,10,22079
18,16,19,39,24,12,11,22081
11,2,8,6,3,1,1,22082
2,1,1,3,1,0,2,22083
7,3,9,15,26,10,6,22084
1,2,0,2,0,1,4,22085
0,3,4,9,7,2,0,22086
0,1,0,4,8,6,4,22087
0,0,1,0,2,0,3,22088
32,105,13,10,16,19,8,22090
0,1,0,6,5,1,2,22091
1,0,1,3,4,2,2,22092
50,37,130,189,117,69,32,22093
20,2,10,22,12,15,10,22094
0,0,0,0,0,1,2,22095
0,2,1,3,8,2,1,22096
2,0,0,8,11,2,3,22097
6,0,2,4,6,2,2,22098
2,3,2,8,10,4,1,22099
0,0,9,13,14,7,3,22101
5,7,8,5,13,5,1,22103
2,0,0,4,4,7,0,22104
4,0,1,10,7,9,2,22105
19,6,97,73,41,19,17,22106
3,1,1,14,10,21,13,22107
0,0,0,0,1,1,0,22108
0,2,2,2,0,3,2,22109
0,0,0,2,1,0,1,22110
0,0,4,1,1,2,1,22111
0,0,0,2,3,2,2,22112
69,33,161,368,256,79,51,22113
0,0,0,2,5,6,5,22114
0,0,1,5,3,1,1,22115
4,1,2,7,6,4,9,22116
13,2,3,11,9,4,4,22117
33,13,30,37,37,20,10,22118
1,1,3,5,5,3,6,22119
4,2,11,23,23,12,9,22121
0,0,0,3,4,9,6,22122
0,0,1,1,5,4,2,22124
1,0,1,2,1,0,0,22126
